onset,duration,amplitude,regressor
255.00000000000003,1.36,2.6289995735609986e-08,rot_y_derivative1_power2
257.04,27.880000000000003,3.701790994004942e-08,rot_y_derivative1_power2
285.6,12.920000000000002,4.673346398838946e-08,rot_y_derivative1_power2
299.20000000000005,14.280000000000001,3.79163240288562e-08,rot_y_derivative1_power2
314.84000000000003,1.36,2.35289154583044e-08,rot_y_derivative1_power2
316.88,1.36,1.8363637656250007e-08,rot_y_derivative1_power2
320.28000000000003,1.36,1.579214462224e-08,rot_y_derivative1_power2
329.12,3.4000000000000004,2.508482423452e-08,rot_y_derivative1_power2
333.20000000000005,2.72,1.4011858752679996e-08,rot_y_derivative1_power2
337.28000000000003,1.36,2.7642883057020098e-08,rot_y_derivative1_power2
341.36,1.36,3.4659268899999994e-08,rot_y_derivative1_power2
